Season,PLAYER,POS,Lane Agility Time  (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (reps)
2020-21,Precious Achiuwa,PF,-,-,-,-,-,-
2020-21,Ty-Shon Alexander,SG,11.33,2.47,3.26,28,33,-
2020-21,Udoka Azubuike,C,11.82,3.61,3.23,37,41,-
2020-21,Tyler Bey,PF,11.35,2.75,3.17,37,43.5,-
2020-21,Yoeli Childs,PF,10.87,2.42,3.22,34,38.5,-
2020-21,Mamadi Diakite,PF,11.95,2.71,3.16,28,37,-
2020-21,Devon Dotson,PG,10.44,2.22,3.02,31.5,40.5,-
2020-21,Paul Eboua,SF-PF,10.79,2.44,3.19,33,35.5,-
2020-21,CJ Elleby,SG-SF,11.25,2.63,3.25,30.5,36.5,-
2020-21,Trent Forrest,PG,11.04,2.5,3.18,28,34.5,-
2020-21,Josh Green,SG-SF,10.64,2.28,3.12,30.5,39.5,-
2020-21,Ashton Hagans,PG,10.82,2.5,3.13,29.5,36.5,-
2020-21,Joshua Hall,SF,12.16,2.62,3.38,31.5,37.5,-
2020-21,Jalen Harris,SG,10.59,2.49,3.11,37.5,42.5,-
2020-21,Markus Howard,PG,11.21,3.17,3.11,30.5,35.5,-
2020-21,Elijah Hughes,SF-SG,-,-,-,-,-,-
2020-21,Isaiah Joe,SG,-,-,-,-,-,-
2020-21,Mason Jones,SG,10.6,2.49,3.33,24,31,-
2020-21,Nathan Knight,PF-C,11.56,2.96,3.31,23,31.5,-
2020-21,Theo Maledon,PG,-,-,-,-,-,-
2020-21,Karim Mane,PG-SG,11.52,2.64,3.04,31,36,-
2020-21,Naji Marshall,SF,11.77,2.9,3.37,28.5,35,-
2020-21,Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.5,38.5,-
2020-21,Skylar Mays,SG,10.65,2.4,3.3,29,37.5,-
2020-21,Zeke Nnaji,PF-C,10.94,2.72,3.2,33,38,-
2020-21,Jordan Nwora,SF-PF,11.29,2.66,3.43,29,35,-
2020-21,Reggie Perry,PF-C,11.26,2.57,3.25,30,33.5,-
2020-21,Myles Powell,PG-SG,-,-,-,-,-,-
2020-21,Immanuel Quickley,SG,11.21,2.46,3.17,29.5,35.5,-
2020-21,Jahmi'us Ramsey,SG,-,-,-,-,-,-
2020-21,Paul Reed Jr.,PF,12.29,2.67,3.45,26.5,37.5,-
2020-21,Nick Richards,C,11.42,2.92,3.25,30,34,-
2020-21,Grant Riller,PG-SG,11.17,2.45,3.07,32.5,39.5,-
2020-21,Jayden Scrubb,SG-SF,-,-,-,-,-,-
2020-21,Jalen Smith,PF-C,-,-,-,-,-,-
2020-21,Cassius Stanley,SG,11.4,2.43,3.09,34.5,44,-
2020-21,Lamar Stevens,SF-PF,10.35,2.54,3.2,35,41,-
2020-21,Isaiah Stewart,C,-,-,-,-,-,-
2020-21,Tyrell Terry,PG,10.78,2.59,3.28,30,34,-
2020-21,Killian Tillie,PF,11.6,2.62,3.4,27.5,32,-
2020-21,Xavier Tillman Sr.,PF-C,11.8,3.01,3.49,26,32.5,-
2020-21,Kaleb Wesson,C,11.73,2.64,3.6,21.5,27,-
2020-21,Kahlil Whitney,SF,11.17,2.61,3.28,29,39,-
2020-21,Cassius Winston,PG,11.15,2.74,3.61,24,28,-
2020-21,Robert Woodard II,SF,11.1,2.49,3.18,32,38,-
2019-20,Nickeil Alexander-Walker,SG,-,-,-,-,-,-
2019-20,RJ Barrett,SF,-,-,-,-,-,-
2019-20,Charles Bassey,C,12.65,3.27,3.53,29,33,7
2019-20,Darius Bazley,PF,11.09,2.95,3.27,30.5,37,4
2019-20,Bol Bol,C,-,-,-,-,-,-
2019-20,Jordan Bone,SG,9.97,2.78,3.08,36,42.5,7
2019-20,Brian Bowen II,SF,10.98,3.21,3.26,32,35.5,1
2019-20,Ky Bowman,PG,11.11,3.11,3.26,27.5,33,4
2019-20,Ignas Brazdeikis,SF,11.06,3.17,3.36,31,36.5,13
2019-20,O'Shae Brissett,SF-PF,11.3,3.18,3.48,34,37.5,11
2019-20,Moses Brown,C,11.95,3.3,3.51,27,31,-
2019-20,Brandon Clarke,SF,10.61,3.05,3.15,34,40.5,10
2019-20,Nicolas Claxton,C,11.26,3.47,3.36,31.5,36.5,8
2019-20,Tyler Cook,PF,11.32,3.1,3.28,27.5,32,11
2019-20,Jarrett Culver,SG,-,-,-,-,-,-
2019-20,Terence Davis,SG,10.69,2.96,3.28,29.5,34,13
2019-20,Luguentz Dort,PG,10.79,3.13,3.22,32.5,38,14
2019-20,Devon Dotson,PG,10.63,2.8,3.04,30,38.5,7
2019-20,Carsen Edwards,PG,10.53,2.82,3.22,28.5,34,14
2019-20,Tacko Fall,C,13.01,3.46,3.78,22,26.5,8
2019-20,Bruno Fernando,C,11.29,3.05,3.21,29.5,33.5,13
2019-20,Daniel Gafford,PF,11.61,3.19,3.25,32.5,36.5,5
2019-20,Darius Garland,PG,-,-,-,-,-,-
2019-20,Quentin Grimes,SG,10.83,3.28,3.2,27.5,36,6
2019-20,Kyle Guy,SG,10.48,3.07,3.27,30.5,36.5,4
2019-20,Jaylen Hands,PG,10.73,3.03,3.12,33,41.5,6
2019-20,Jared Harper,PG,10.77,3.02,3.04,33.5,40.5,8
2019-20,Jaxson Hayes,PF,11.74,3.23,3.37,27,34.5,5
2019-20,Dewan Hernandez,C,11.46,3.25,3.28,30.5,35.5,13
2019-20,Tyler Herro,SG,-,-,-,-,-,-
2019-20,Jalen Hoard,PF,11.44,3.32,3.34,27.5,35.5,8
2019-20,Talen Horton-Tucker,SG,11.34,3.43,3.34,26,34.5,10
2019-20,De'Andre Hunter,,-,-,-,-,-,-
2019-20,DaQuan Jeffries,SF-PF,-,-,-,-,-,-
2019-20,Ty Jerome,PG,11.21,3.12,3.4,26,31.5,2
2019-20,Keldon Johnson,SG,-,-,-,-,-,-
2019-20,Cameron Johnson,SG,10.52,3.28,3.26,30.5,36.5,-
2019-20,Mfiondu Kabengele,PF,11.21,3.3,3.25,28,35.5,6
2019-20,Louis King,SF,10.99,3.05,3.28,29,33,0
2019-20,Romeo Langford,SG,-,-,-,-,-,-
2019-20,Dedric Lawson,PF,11.8,3.54,3.6,23.5,26,10
2019-20,Jalen Lecque,PG,11.09,3.3,3.29,35,43,1
2019-20,Nassir Little,SF,12.15,3.1,3.24,31,38.5,5
2019-20,Terance Mann,SG-SF,11.51,3.14,3.3,32.5,38.5,6
2019-20,Cody Martin,PG-SG,10.44,2.99,3.32,28,35.5,7
2019-20,Charles Matthews,SG,11.26,3.24,3.38,29.5,37.5,9
2019-20,Jalen McDaniels,SF,11.54,3.23,3.32,29.5,33.5,0
2019-20,Ja Morant,PG,-,-,-,-,-,-
2019-20,Zach Norvell Jr.,SG,11.6,3.34,3.43,24,30,-
2019-20,Jaylen Nowell,SG,10.76,3.13,3.23,32,38.5,2
2019-20,Jordan Nwora,PF,-,-,-,-,-,-
2019-20,Chuma Okeke,,-,-,-,-,-,-
2019-20,KZ Okpala,SF,10.88,3.13,3.38,30.5,37,9
2019-20,Miye Oni,SG,11.71,3.12,3.17,30.5,38.5,19
2019-20,Eric Paschall,SF,11.63,3.26,3.3,33,38,18
2019-20,Reggie Perry,SF-PF,12.46,3.4,3.3,28.5,31.5,15
2019-20,Shamorie Ponds,PG,11.01,3.07,3.2,29,37,0
2019-20,Jordan Poole,SG,10.59,3.14,3.27,28,35.5,-
2019-20,Jontay Porter,PF,-,-,-,-,-,-
2019-20,Kevin Porter Jr.,SG,10.82,3.03,3.14,27,34,2
2019-20,Neemias Queta,C,12.04,3.45,3.73,24,32.5,1
2019-20,Cameron Reddish,SF,-,-,-,-,-,-
2019-20,Naz Reid,PF,12.03,3.76,3.42,26,32.5,3
2019-20,Isaiah Roby,PF,10.63,3.05,3.25,32.5,35.5,9
2019-20,Luka Samanic,PF,11.01,3.03,3.27,27,38,7
2019-20,Admiral Schofield,SF,10.77,2.87,3.37,30,34,15
2019-20,Marial Shayok,SF-PF,11.16,3.04,3.37,29.5,36.5,9
2019-20,Simisola Shittu,PF,11.85,3.24,3.3,27,35.5,11
2019-20,Killian Tillie,,-,-,-,-,-,-
2019-20,P.J. Washington,PF,-,-,-,-,-,-
2019-20,Tremont Waters,PG,10.76,3.11,3.07,30.5,40.5,5
2019-20,Quinndary Weatherspoon,SG,11.57,3.15,3.16,31,38,-
2019-20,Coby White,PG,-,-,-,-,-,-
2019-20,Kris Wilkes,SF,10.39,3.09,3.34,27.5,35,4
2019-20,Grant Williams,PF,10.83,3.27,3.33,26,31.5,20
2019-20,Zion Williamson,PF,-,-,-,-,-,-
2019-20,Dylan Windler,SF,10.7,2.94,3.3,29,37.5,8
2018-19,Rawle Alkins,SG,11.5,3.09,3.15,32.5,40.5,10
2018-19,Grayson Allen,SG,10.31,3.04,3.15,32.5,40.5,-
2018-19,Kostas Antetokounmpo,PF,12.48,3.48,3.21,29.5,35,0
2018-19,Udoka Azubuike,C,12.97,3.65,3.12,31,31.5,11
2018-19,Mohamed Bamba,C,-,-,-,-,-,-
2018-19,Jaylen Barford,PG-SG,11.39,3.21,3.31,27,33,7
2018-19,Keita Bates-Diop,SG-SF,11.2,3.28,3.17,30.5,35,11
2018-19,Tyus Battle,SG,11.04,2.87,3.07,32,37.5,9
2018-19,Brian Bowen,SG-SF,11.58,3.33,3.28,30.5,34,0
2018-19,Miles Bridges,SF,-,-,-,-,-,-
2018-19,Bruce Brown,SG-PG,11.11,3.44,3.2,32.5,38,17
2018-19,Troy Brown,SF,11.51,3.29,3.33,26,33,5
2018-19,Jalen Brunson,PG,10.59,3.11,3.15,29,37,7
2018-19,Tony Carr,PG,11.89,3.4,3.17,25,31.5,0
2018-19,Jevon Carter,PG,11.04,3.05,3.18,29,36.5,14
2018-19,Wendell Carter,C-PF,-,-,-,-,-,-
2018-19,Donte DiVincenzo,SG,10.72,3.12,3.11,34.5,42,12
2018-19,Hamidou Diallo,SG,10.53,3.14,3.1,32.5,40.5,1
2018-19,Trevon Duval,PG,10.93,3.09,3.18,34,41.5,6
2018-19,Carsen Edwards,PG,11.59,3.15,3.2,28.5,34.5,12
2018-19,Jacob Evans,SG-SF,11.11,3.14,3.2,28,35.5,8
2018-19,Keenan Evans,PG,-,-,-,-,-,-
2018-19,Bruno Fernando,C,12.19,3.03,3.23,29,35,11
2018-19,Melvin Frazier,SF-SG,11.24,3.08,3.08,31,40.5,0
2018-19,Shai Gilgeous-Alexander,PG,-,-,-,-,-,-
2018-19,Devonte Graham,PG,11.28,3.15,3.21,31,37,14
2018-19,Isaac Haas,C,-,-,-,-,-,-
2018-19,Devon Hall,SG,10.95,3.16,3.27,25,31,6
2018-19,Jaylen Hands,PG,12.11,3.16,3.13,31.5,39.5,6
2018-19,Kevin Hervey,PF,11.28,3.15,3.36,27.5,32,4
2018-19,Aaron Holiday,PG,10.96,3.22,3.27,25.5,33,-
2018-19,Kevin Huerter,SG,10.89,2.97,3.09,31,38,9
2018-19,Jaren Jackson,PF-C,-,-,-,-,-,-
2018-19,Justin Jackson,PF,-,-,-,-,-,-
2018-19,Alize Johnson,PF,11.83,3.28,3.38,25,31,8
2018-19,George King,SF-SG,10.75,3.08,3.29,31,39,15
2018-19,Kevin Knox,SF,-,-,-,-,-,-
2018-19,Sagaba Konate,C,12.28,3.36,3.28,31.5,35,12
2018-19,Caleb Martin,SF-SG,10.43,2.75,3.26,29,36.5,6
2018-19,Cody Martin,SG-SF,10.64,3.05,3.09,29,36.5,4
2018-19,Yante Maten,PF-C,11.35,3.13,3.17,27,31.5,18
2018-19,Brandon McCoy,C,11.77,3.31,3.23,27.5,32,9
2018-19,DeAnthony Melton,SG-PG,11.48,3.33,3.23,31,36.5,1
2018-19,Chimezie Metu,PF-C,11.89,3.25,3.33,29.5,36,5
2018-19,Shake Milton,SG-PG,11.07,3.19,3.25,30,33,2
2018-19,Sviatoslav Mykhailiuk,SG-SF,11.25,3.18,3.15,30.5,37,4
2018-19,Malik Newman,SG,10.9,3.18,3.13,27.5,33.5,-
2018-19,Josh Okogie,SG,11.08,3.03,3.04,33,42,12
2018-19,Theo Pinson,SG-SF,11.53,3.11,3.22,27,34,7
2018-19,Jontay Porter,C-PF,11.9,3.07,3.4,25.5,31,9
2018-19,Michael Porter,SF-PF,-,-,-,-,-,-
2018-19,Billy Preston,PF,11.26,3.35,3.2,25,33,0
2018-19,Jerome Robinson,SG,-,-,-,-,-,-
2018-19,Collin Sexton,PG,-,-,-,-,-,-
2018-19,Landry Shamet,PG,11.26,3.21,3.11,31,39.5,8
2018-19,Anfernee Simons,SG-PG,11.27,3.16,3.1,32,41.5,1
2018-19,Zhaire Smith,SF-SG,11.02,3.15,3.05,33,41.5,10
2018-19,Ray Spalding,PF,11.48,3.2,3.34,26,32,12
2018-19,Omari Spellman,PF-C,12.28,3.35,3.38,28.5,35.5,8
2018-19,Khyri Thomas,SG,10.96,3.18,3.18,30,35,14
2018-19,Gary Trent,SG,11.37,2.99,3.12,33.5,39.5,12
2018-19,Allonzo Trier,SG,11.02,2.97,3.14,32,40,11
2018-19,Moritz Wagner,C-PF,11.48,3.07,3.18,27,34,8
2018-19,Lonnie Walker,SG,10.87,2.91,3.06,31.5,40,12
2018-19,PJ Washington,PF,11.39,3.43,3.2,27,34,3
2018-19,Austin Wiley,C,12.79,3.27,3.3,28,33.5,14
2018-19,Kris Wilkes,SF,11.29,3.16,3.24,28,35.5,1
2018-19,Kenrich Williams,SF,10.86,3.28,3.19,28,33,14
2018-19,Trae Young,PG,-,-,-,-,-,-
2017-18,Edrice Adebayo,PF-C,11.94,3.24,3.24,33.5,38.5,12
2017-18,Rawle Alkins,SG-SF,11.99,3.18,3.3,31.5,40.5,7
2017-18,Jarrett Allen,C,11.82,3,3.21,31.5,35.5,4
2017-18,Kadeem Allen,PG,11.24,2.98,3.15,33,35.5,7
2017-18,Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,11
2017-18,OG Anunoby,SF,-,-,-,-,-,-
2017-18,Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31,5
2017-18,Dwayne Bacon,SG-SF,11.7,3.22,3.22,30,36.5,8
2017-18,V.J. Beachem,SG-SF,11.18,3.19,3.26,30,37,11
2017-18,Jordan Bell,PF,10.63,2.83,3.21,31.5,38,16
2017-18,Jaron Blossomgame,SF,11.47,3.35,3.17,31,35.5,16
2017-18,Chris Boucher,PF,-,-,-,-,-,-
2017-18,Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,5
2017-18,Isaiah Briscoe,PG,10.95,2.85,3.38,28,33.5,11
2017-18,Dillon Brooks,SG-SF,11.14,3.24,3.21,31,37.5,16
2017-18,Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33,7
2017-18,Zach Collins,PF-C,-,-,-,-,-,-
2017-18,John Collins,PF,11.66,3.27,3.27,33,37.5,15
2017-18,Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,0
2017-18,Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36,8
2017-18,Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38,13
2017-18,PJ Dozier,SG,10.84,2.98,3.15,34,39,9
2017-18,Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,1
2017-18,Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38,-
2017-18,De?Aaron Fox,PG,-,-,-,-,-,-
2017-18,Markelle Fultz,PG,-,-,-,-,-,-
2017-18,Harry Giles,PF,11.08,3,3.34,27,32.5,5
2017-18,Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,9
2017-18,Nigel Hayes,PF,11.81,2.94,3.27,29,33.5,16
2017-18,Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37,11
2017-18,Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36,5
2017-18,Frank Jackson,PG,10.94,2.7,3.14,34.5,42,9
2017-18,Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,-
2017-18,Justin Jackson (UNC),SF,10.8,3.06,3.3,29.5,35.5,-
2017-18,Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31,-
2017-18,Luke Kennard,SG-SF,-,-,-,-,-,-
2017-18,Kyle Kuzma,SF-SG,10.72,2.98,3.25,27,34,12
2017-18,TJ Leaf,PF,11.55,3.27,3.27,29,34.5,6
2017-18,Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,1
2017-18,Frank Mason III,PG,11.41,3.09,3.18,34,41,15
2017-18,Kennedy Meeks,C,12.91,3.35,3.5,28,30.5,15
2017-18,Donovan Mitchell,SG,11.53,3.07,3.01,36.5,40.5,10
2017-18,Monte Morris,PG,11,3.2,3.19,28,33.5,8
2017-18,Johnathan Motley,PF,-,-,-,-,-,-
2017-18,Svi Mykhailiuk,SG-SF,12.4,3.25,3.53,27,33,8
2017-18,Semi Ojeleye,SF-SG,10.58,3.07,3.16,35,40.5,19
2017-18,Cameron Oliver,PF,12.17,3.31,3.16,28,39.5,5
2017-18,Justin Patton,C,11.8,3.31,3.46,26,30.5,-
2017-18,Alec Peters,PF,-,-,-,-,-,-
2017-18,Ivan Rabb,PF,12.68,3.23,3.35,28.5,32.5,3
2017-18,Davon Reed,SG-SF,11.37,3.21,3.34,28.5,36,12
2017-18,Devin Robinson,SF,12.85,3.61,3.23,35.5,41.5,10
2017-18,Kobi Simmons,PG,11.15,2.98,3.18,30.5,38.5,3
2017-18,Edmond Sumner,PG,-,-,-,-,-,-
2017-18,Caleb Swanigan,PF,-,-,-,-,-,-
2017-18,Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27,30.5,15
2017-18,Melo Trimble,PG,10.75,2.92,3.27,24.5,32,6
2017-18,Moritz Wagner,PF,12,2.98,3.35,25.5,32.5,-
2017-18,Derrick Walton Jr.,PG,11.28,3.12,3.29,26,32.5,9
2017-18,Thomas Welsh,PF-C,-,-,-,-,-,11
2017-18,Derrick White,PG,10.84,2.92,3.08,31,36.5,10
2017-18,Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,10
2017-18,D.J. Wilson,PF,-,-,-,-,-,-
2017-18,Omer Yurtseven,C,12.85,3.3,3.45,26,31.5,6
2016-17,Ron Baker,SG,10.77,2.96,3.45,30,35.5,-
2016-17,Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38,-
2016-17,Cat Barber,PG,-,-,-,-,-,-
2016-17,Malik Beasley,SG,-,0,-,-,-,-
2016-17,DeAndre Bembry,SG-SF,10.9,2.87,3.17,32,38,-
2016-17,Ben Bentil,PF,11.16,3.1,3.3,29,33,-
2016-17,Jaron Blossomgame,SF,11.53,3.26,3.2,35,41,-
2016-17,Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,-
2016-17,Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,-
2016-17,Jaylen Brown,SG-SF,-,-,-,-,-,-
2016-17,Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-
2016-17,Elgin Cook,SF,-,-,-,-,-,-
2016-17,Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37,-
2016-17,Deyonta Davis,PF,-,-,-,-,-,-
2016-17,Cheick Diallo,PF,11.24,3.3,3.26,31,35,-
2016-17,Kris Dunn,PG,-,-,-,-,-,-
2016-17,Henry Ellenson,PF,-,-,-,-,-,-
2016-17,Perry Ellis,PF,10.73,3.03,3.13,32,38,-
2016-17,Kay Felder,PG,11.52,2.9,3.15,35.5,44,-
2016-17,Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,-
2016-17,Michael Gbinije,SG,11,3.19,3.12,33.5,37.5,-
2016-17,Daniel Hamilton,SG-SF,11.48,3.2,3.4,26,29,-
2016-17,Josh Hart,SG,11.15,3.15,3.2,29.5,38.5,-
2016-17,Nigel Hayes,SF-PF,12.11,2.9,3.2,25.5,28.5,-
2016-17,Buddy Hield,SG,-,-,-,-,-,-
2016-17,Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,-
2016-17,Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,-
2016-17,Brice Johnson,PF,11.88,2.94,3.2,33.5,38,-
2016-17,Damian Jones,C,11.35,3.12,3.2,36,37,-
2016-17,Skal Labissiere,PF-C,-,-,-,-,-,-
2016-17,Jake Layman,SF,11.35,2.82,3.24,33,39.5,-
2016-17,Caris LeVert,SG,-,-,-,-,-,-
2016-17,Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,-
2016-17,Thon Maker,PF,11.15,3.09,3.33,32,36.5,-
2016-17,Patrick McCaw,PG-SG,11.01,2.97,3.3,30,38,-
2016-17,Malik Newman,SG,10.88,3.11,3.28,30,35.5,-
2016-17,Georges Niang,PF,11.64,3.17,3.49,25,31,-
2016-17,Chinanu Onuaku,C,11.65,3,3.5,27.5,33.5,-
2016-17,Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,-
2016-17,Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,-
2016-17,Jakob Poeltl,C,-,-,-,-,-,-
2016-17,Taurean Prince,SF,10.96,2.8,3.24,34,36,-
2016-17,Zhou Qi,PF-C,11.27,2.9,3.46,31.5,32,-
2016-17,Malachi Richardson,SG-SF,10.56,3.25,3.33,33,38,-
2016-17,Wayne Selden,SG,-,-,-,-,-,-
2016-17,Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,-
2016-17,Diamond Stone,C,12.02,3.22,3.5,27,29.5,-
2016-17,Caleb Swanigan,PF,12.8,-,-,26,29,-
2016-17,Melo Trimble,PG,10.57,2.77,3.2,26.5,35.5,-
2016-17,Tyler Ulis,PG,10.8,2.88,3.2,32.5,38,-
2016-17,Jarrod Uthoff,PF,11.52,3.03,3.5,29,34.5,-
2016-17,Denzel Valentine,SG-SF,10.51,3.22,3.46,27,32,-
2016-17,Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,-
2016-17,Troy Williams,SF,10.72,3.08,3.35,30,36,-
2016-17,Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,-
2016-17,Stephen Zimmerman,C,12.08,3.16,3.43,26,31,-
2015-16,Cliff Alexander,PF-C,-,-,-,-,-,-
2015-16,Justin Anderson,SF-SG,11.13,2.88,3.22,38,43,12
2015-16,Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5,9
2015-16,Ryan Boatright,PG,10.71,3.05,3.26,32,41,10
2015-16,Devin Booker,SG,10.27,2.75,3.28,27.5,34.5,8
2015-16,Anthony Brown,SF-SG,10.94,3.29,3.18,27.5,34.5,4
2015-16,Willie Cauley-Stein,C,-,-,-,-,-,-
2015-16,Rakeem Christmas,PF-C,11.6,3.3,3.47,29,32,9
2015-16,Pat Connaughton,SG,10.58,3.08,3.2,37.5,44,13
2015-16,Quinn Cook,PG,11.44,3.41,3.38,24.5,31,14
2015-16,Branden Dawson,PF,12.22,3.53,3.2,28.5,34.5,12
2015-16,Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,5
2015-16,Michael Frazier II,SG,10.66,3.02,3.32,27,35,10
2015-16,Treveon Graham,SF,11.64,3.15,3.3,28.5,31.5,11
2015-16,Jerian Grant,PG,-,-,-,-,-,-
2015-16,Olivier Hanlan,PG-SG,11.41,3.12,3.25,28,34,19
2015-16,Montrezl Harrell,PF,-,-,-,-,-,-
2015-16,Andrew Harrison,PG,11.2,-,3.34,26.5,33,-
2015-16,Aaron Harrison,SG,-,-,3.27,28.5,34.5,1
2015-16,Tyler Harvey,SG,10.56,2.93,3.44,26,28.5,1
2015-16,Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34,9
2015-16,Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32,38,13
2015-16,Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31,-
2015-16,Richaun Holmes,PF,11.24,3.31,3.32,32.5,36,15
2015-16,R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,1
2015-16,Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,13
2015-16,Dakari Johnson,C,11.76,2.94,3.62,22.5,25,4
2015-16,Stanley Johnson,SF,-,-,-,-,-,-
2015-16,Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,2
2015-16,Frank Kaminsky,C-PF,-,-,-,-,-,-
2015-16,Kevon Looney,PF,-,-,-,-,-,-
2015-16,Trey Lyles,PF,-,-,-,-,-,-
2015-16,Jarell Martin,PF,11.2,2.97,3.27,28.5,35,19
2015-16,TJ McConnell,PG,10.95,3.09,3.3,26,31.5,7
