,rallyid,frameid,strokeid,hitter,receiver,isserve,serve,type,stroke,hitter_x,hitter_y,receiver_x,receiver_y,time
0,1,70877,1,Djokovic,Nadal,True,first,serve,forehand,6.5,-0.24,1.03,27.44,0.0
1,1,70900,2,Nadal,Djokovic,False,first,slice,backhand,0.05,25.59,6.17,1.11,0.92
2,1,70950,3,Djokovic,Nadal,False,first,topspin,forehand,1.42,2.33,4.75,26.45,2.9200000000000004
3,2,71488,1,Djokovic,Nadal,True,first,serve,forehand,4.48,-0.01,7.9,26.83,24.44
4,3,71796,1,Djokovic,Nadal,True,second,serve,forehand,4.48,-0.37,7.88,26.47,36.760000000000005
5,3,71820,2,Nadal,Djokovic,False,second,slice,forehand,7.4,24.79,4.47,0.19,37.72
6,3,71860,3,Djokovic,Nadal,False,second,topspin,backhand,1.66,0.43,6.12,25.84,39.32
7,3,71900,4,Nadal,Djokovic,False,second,topspin,forehand,8.14,27.07,3.12,-0.94,40.92
8,4,72470,1,Djokovic,Nadal,True,first,serve,forehand,6.44,-0.27,0.96,26.71,63.720000000000006
9,5,72790,1,Djokovic,Nadal,True,second,serve,forehand,6.17,-0.22,0.54,27.32,76.52000000000001
10,5,72800,2,Djokovic,Nadal,True,second,serve,forehand,6.43,-0.1,0.93,27.08,76.92
11,6,73280,1,Djokovic,Nadal,True,first,serve,forehand,4.45,-0.25,7.81,28.35,96.12
12,6,73300,2,Nadal,Djokovic,False,first,topspin,forehand,8.84,27.57,4.47,1.26,96.92
13,6,73330,3,Djokovic,Nadal,False,first,topspin,backhand,1.57,1.37,8.12,26.94,98.12
14,6,73360,4,Nadal,Djokovic,False,first,topspin,forehand,8.96,26.45,1.66,1.41,99.32000000000001
15,6,73390,5,Djokovic,Nadal,False,first,topspin,forehand,3.11,-0.08,7.66,26.09,100.52000000000001
16,6,73420,6,Nadal,Djokovic,False,first,topspin,forehand,7.35,25.14,3.55,-0.94,101.72000000000001
17,6,73440,7,Djokovic,Nadal,False,first,topspin,backhand,3.25,-0.08,6.42,25.37,102.52000000000001
18,6,73480,8,Nadal,Djokovic,False,first,topspin,forehand,8.38,28.74,3.86,-1.16,104.12
19,6,73510,9,Djokovic,Nadal,False,first,topspin,backhand,1.11,-0.62,7.12,26.33,105.32000000000001
20,6,73540,10,Nadal,Djokovic,False,first,slice,backhand,3.03,27.07,2.05,-0.71,106.52000000000001
21,7,75561,1,Nadal,Djokovic,True,first,serve,forehand,5.5,-0.17,1.66,26.12,187.36
22,8,75885,1,Nadal,Djokovic,True,second,serve,forehand,5.48,-0.4,1.64,23.86,200.32000000000002
23,8,75905,2,Djokovic,Nadal,False,first,return,backhand,3.82,24.33,5.83,1.29,201.12
24,8,75935,3,Nadal,Djokovic,False,first,topspin,forehand,5.49,-0.32,5.26,25.26,202.32000000000002
25,8,75965,4,Djokovic,Nadal,False,first,topspin,backhand,7.78,25.14,4.38,-1.38,203.52
26,8,76005,5,Nadal,Djokovic,False,first,topspin,backhand,7.8,-1.16,4.7,26.94,205.12
27,8,76035,6,Djokovic,Nadal,False,first,topspin,forehand,1.54,25.97,6.76,-1.16,206.32000000000002
28,8,76065,7,Nadal,Djokovic,False,first,topspin,forehand,2.72,-1.83,4.42,25.61,207.52
29,9,76822,1,Nadal,Djokovic,True,first,serve,forehand,4.22,-0.27,8.63,25.76,237.8
30,9,76845,2,Djokovic,Nadal,False,first,return,forehand,6.84,25.49,5.51,1.11,238.72000000000003
31,9,76865,3,Nadal,Djokovic,False,first,topspin,forehand,6.5,-0.42,5.32,26.45,239.52
32,9,76905,4,Djokovic,Nadal,False,first,topspin,forehand,2.05,28.08,6.49,-1.47,241.12
33,9,76935,5,Nadal,Djokovic,False,first,topspin,forehand,2.53,-1.53,4.23,27.07,242.32000000000002
34,9,76975,6,Djokovic,Nadal,False,first,topspin,backhand,7.37,25.26,3.38,-1.59,243.92000000000002
35,9,77005,7,Nadal,Djokovic,False,first,topspin,backhand,5.73,-0.75,5.55,26.33,245.12
36,9,77045,8,Djokovic,Nadal,False,first,topspin,forehand,2.42,26.82,6.23,-1.56,246.72000000000003
37,9,77075,9,Nadal,Djokovic,False,first,topspin,backhand,7.85,-1.95,3.81,26.09,247.92000000000002
38,9,77105,10,Djokovic,Nadal,False,first,topspin,forehand,6.12,25.97,6.12,-2.16,249.12
39,9,77135,11,Nadal,Djokovic,False,first,topspin,forehand,1.03,-1.19,7.17,25.97,250.32000000000002
40,9,77185,12,Djokovic,Nadal,False,first,topspin,backhand,9.54,24.91,3.49,-0.49,252.32000000000002
41,10,77992,1,Nadal,Djokovic,True,first,serve,forehand,5.21,-0.4,0.68,26.59,284.6
42,11,78015,1,Djokovic,Nadal,False,first,return,forehand,-0.74,25.49,5.96,2.85,285.52000000000004
43,11,78578,2,Nadal,Djokovic,True,first,serve,forehand,5.53,-0.43,1.41,25.65,308.04
44,11,78605,3,Djokovic,Nadal,False,first,slice,backhand,4.0,25.84,6.59,1.04,309.12
45,11,78635,4,Nadal,Djokovic,False,first,topspin,forehand,4.07,4.39,4.8,27.32,310.32
46,12,79431,1,Nadal,,True,first,serve,forehand,4.87,-2.58,,,342.16
47,13,80085,1,Nadal,Djokovic,True,second,serve,forehand,4.1,-0.02,8.37,27.32,368.32000000000005
48,13,80105,2,Djokovic,Nadal,False,first,topspin,forehand,8.1,26.09,5.14,1.44,369.12
49,13,80125,3,Nadal,Djokovic,False,first,topspin,forehand,4.2,1.75,6.57,26.69,369.92
50,13,80155,4,Djokovic,Nadal,False,first,topspin,forehand,3.53,27.57,4.55,1.07,371.12
51,13,80185,5,Nadal,Djokovic,False,first,topspin,backhand,6.44,-0.87,4.33,27.19,372.32000000000005
52,13,80225,6,Djokovic,Nadal,False,first,topspin,backhand,5.28,25.26,5.73,-0.91,373.92
53,13,80255,7,Nadal,Djokovic,False,first,topspin,forehand,4.11,-0.68,5.32,26.69,375.12
54,13,80295,8,Djokovic,Nadal,False,first,topspin,forehand,3.72,26.21,5.15,-1.8,376.72
55,13,80325,9,Nadal,Djokovic,False,first,topspin,backhand,7.6,-1.68,3.97,26.94,377.92
56,13,80355,10,Djokovic,Nadal,False,first,topspin,forehand,1.94,25.02,6.78,-2.16,379.12
57,13,80385,11,Nadal,Djokovic,False,first,topspin,forehand,6.97,-1.74,3.19,27.19,380.32000000000005
58,13,80425,12,Djokovic,Nadal,False,first,topspin,backhand,7.71,25.84,4.78,-1.16,381.92
59,13,80455,13,Nadal,Djokovic,False,first,topspin,backhand,7.03,-0.55,5.85,26.33,383.12
60,14,81279,1,Nadal,Djokovic,True,first,serve,forehand,5.45,-0.14,1.21,27.82,416.08000000000004
61,14,81305,2,Djokovic,Nadal,False,first,slice,forehand,-0.69,27.45,6.2,1.71,417.12
62,14,81345,3,Nadal,Djokovic,False,first,topspin,forehand,9.3,2.77,3.12,25.37,418.72
63,15,82425,1,Djokovic,Nadal,True,first,serve,forehand,3.52,21.85,9.61,-3.57,461.92
64,15,82445,2,Nadal,Djokovic,False,first,topspin,forehand,7.38,-2.53,3.92,21.45,462.72
65,16,82985,1,Djokovic,Nadal,True,first,serve,forehand,5.43,28.35,2.06,-0.49,484.32000000000005
66,17,83275,1,Djokovic,Nadal,True,first,serve,forehand,5.45,27.57,1.83,-1.16,495.92
67,17,83305,2,Nadal,Djokovic,False,first,topspin,backhand,2.7,-0.29,5.32,28.21,497.12
68,17,83345,3,Djokovic,Nadal,False,first,topspin,forehand,5.04,29.82,4.78,0.75,498.72
69,17,83375,4,Nadal,Djokovic,False,first,topspin,forehand,2.51,0.97,5.15,30.93,499.92
70,18,83935,1,Djokovic,Nadal,True,first,serve,forehand,2.77,24.11,9.13,-2.98,522.32
71,18,83955,2,Nadal,__undefined__,False,first,topspin,forehand,7.02,-1.47,3.19,23.33,523.12
72,18,83995,3,Djokovic,Nadal,False,first,topspin,forehand,1.43,23.33,5.78,-3.31,524.72
73,18,84025,4,Nadal,Djokovic,False,first,slice,backhand,9.2,-2.19,2.27,24.33,525.9199999990001
74,18,84075,5,Djokovic,Nadal,False,first,topspin,backhand,4.71,21.65,4.76,-0.97,527.9199999990001
75,18,84095,6,Nadal,__undefined__,False,first,slice,backhand,7.15,-0.22,4.24,21.96,528.72
76,19,84605,1,Djokovic,Nadal,True,first,serve,forehand,5.32,27.19,1.71,-1.13,549.12
77,20,87389,1,Nadal,Djokovic,True,first,serve,forehand,3.2,20.22,7.68,-3.25,660.48
78,20,87407,2,Djokovic,Nadal,False,first,return,forehand,7.24,-2.62,2.92,19.5,661.2
79,20,87447,3,Nadal,Djokovic,False,first,topspin,backhand,-0.12,20.16,5.77,-3.09,662.8000000000001
80,20,87473,4,Djokovic,Nadal,False,first,topspin,forehand,8.24,-2.87,0.39,21.24,663.84
81,20,87513,5,Nadal,Djokovic,False,first,topspin,forehand,6.2,24.68,4.81,-2.3,665.44
82,20,87559,6,Djokovic,Nadal,False,first,topspin,backhand,0.61,0.68,6.39,26.94,667.2800000000001
83,20,87591,7,Nadal,Djokovic,False,first,topspin,backhand,2.97,28.47,3.04,-0.29,668.5600000000001
84,20,87621,8,Djokovic,Nadal,False,first,slice,backhand,1.63,-1.16,2.39,27.83,669.76
85,20,87666,9,Nadal,Djokovic,False,first,topspin,forehand,2.59,22.17,5.14,-1.22,671.5600000000001
86,20,87692,10,Djokovic,Nadal,False,first,topspin,forehand,7.85,-1.22,2.89,18.94,672.6
87,20,87712,11,Nadal,Djokovic,False,first,volley,backhand,2.94,17.43,7.48,-1.06,673.4000000000001
88,20,87756,12,Djokovic,Nadal,False,first,topspin,backhand,3.23,7.11,3.84,17.01,675.1600000000001
89,21,88587,1,Nadal,,True,first,serve,forehand,6.34,13.47,,,708.4000000000001
90,22,88917,1,Nadal,Djokovic,True,second,serve,forehand,5.14,24.45,0.94,0.29,721.6
91,22,88936,2,Djokovic,Nadal,False,first,topspin,forehand,0.97,0.61,4.58,22.37,722.36
92,23,89587,1,Nadal,Djokovic,True,first,serve,forehand,3.0,24.0,7.87,-2.27,748.4000000000001
93,23,89608,2,Djokovic,Nadal,False,first,topspin,backhand,5.18,-1.25,2.75,22.06,749.24
94,24,90081,1,Nadal,Djokovic,True,first,serve,forehand,3.01,24.56,7.8,-1.83,768.1600000000001
95,24,90099,2,Djokovic,Nadal,False,first,topspin,forehand,8.24,-1.19,2.78,22.17,768.88
96,24,90127,3,Nadal,Djokovic,False,first,topspin,backhand,-0.01,22.69,7.28,-0.25,770.0
97,24,90165,4,Djokovic,Nadal,False,first,topspin,backhand,4.07,-0.08,2.17,26.33,771.5200000000001
98,25,90798,1,Nadal,Djokovic,True,first,serve,forehand,5.24,24.68,0.92,-0.87,796.84
99,25,90818,2,Djokovic,Nadal,False,first,topspin,backhand,-1.1,1.22,4.67,24.11,797.6400000000001
100,25,90861,3,Nadal,Djokovic,False,first,topspin,forehand,9.74,23.77,1.67,-0.42,799.36
101,26,91583,1,Nadal,Djokovic,True,first,serve,forehand,3.96,24.11,8.1,-2.04,828.24
102,26,91601,2,Djokovic,Nadal,False,first,topspin,backhand,5.8,-0.97,3.51,22.69,828.96
103,26,91643,3,Nadal,Djokovic,False,first,topspin,backhand,1.07,23.77,5.48,-2.39,830.6400000000001
104,26,91672,4,Djokovic,Nadal,False,first,topspin,forehand,9.31,-2.16,1.24,25.02,831.8000000000001
105,26,91701,5,Nadal,Djokovic,False,first,topspin,forehand,3.86,25.49,7.37,-1.71,832.96
106,26,91739,6,Djokovic,Nadal,False,first,topspin,backhand,1.49,-0.02,8.34,26.33,834.48
107,26,91769,7,Nadal,Djokovic,False,first,topspin,backhand,6.02,26.57,2.7,0.93,835.6800000000001
108,27,92575,1,Nadal,Djokovic,True,first,serve,forehand,6.11,25.49,1.17,-1.06,867.9200000000001
109,28,92914,1,Nadal,Djokovic,True,first,serve,forehand,6.09,24.11,1.12,-0.62,881.48
110,28,92935,2,Djokovic,Nadal,False,first,topspin,forehand,0.76,-0.02,5.19,22.48,882.32
111,29,93622,1,Nadal,,True,first,serve,forehand,3.62,24.79,,,909.8000000000001
112,29,93642,2,Djokovic,Nadal,False,first,topspin,forehand,8.98,-1.95,3.06,23.01,910.6
113,30,94318,1,Nadal,Djokovic,True,first,serve,forehand,5.72,25.73,1.01,-1.19,937.6400000000001
114,30,94338,2,Djokovic,Nadal,False,first,topspin,backhand,-1.23,1.04,5.45,24.0,938.44
115,30,94372,3,Nadal,__undefined__,False,first,topspin,forehand,6.25,23.89,1.06,1.22,939.8000000000001
116,30,94403,4,Djokovic,Nadal,False,first,topspin,forehand,6.37,-1.56,3.86,23.44,941.0400000000001
117,31,95498,1,Djokovic,Nadal,True,first,serve,forehand,5.97,1.78,1.12,24.11,984.84
118,32,96009,1,Djokovic,__undefined__,True,first,serve,forehand,4.22,0.09,7.44,29.54,1005.2800000000001
119,32,96029,2,Nadal,Djokovic,False,first,slice,backhand,4.75,27.7,4.19,0.86,1006.08
120,32,96096,3,Djokovic,Nadal,False,first,topspin,forehand,2.94,1.11,4.52,29.14,1008.7600000000001
121,32,96121,4,Nadal,__undefined__,False,first,topspin,forehand,7.21,29.27,3.03,1.11,1009.7600000000001
122,32,96160,5,Djokovic,Nadal,False,first,topspin,backhand,1.83,0.09,6.32,28.21,1011.32
123,32,96192,6,Nadal,Djokovic,False,first,topspin,backhand,2.75,26.09,3.97,-0.42,1012.6
124,33,96780,1,Djokovic,Nadal,True,first,serve,forehand,5.88,0.09,-0.48,28.47,1036.1199999990001
125,34,97264,1,Djokovic,Nadal,True,first,serve,forehand,4.02,-0.15,7.27,29.27,1055.48
126,34,97282,2,Nadal,Djokovic,False,first,return,forehand,8.03,26.82,3.89,0.86,1056.2
127,34,97321,3,Djokovic,Nadal,False,first,topspin,backhand,1.95,1.52,6.12,27.57,1057.76
128,34,97348,4,Nadal,Djokovic,False,first,topspin,forehand,7.98,26.82,2.72,0.82,1058.8399999990002
129,34,97379,5,Djokovic,Nadal,False,first,topspin,backhand,2.57,1.07,6.42,26.45,1060.0799999990002
130,35,100285,1,Nadal,__undefined__,True,first,serve,forehand,5.45,-0.58,1.12,26.82,1176.3200000000002
131,36,100620,1,Nadal,Djokovic,True,second,serve,forehand,5.46,-0.49,1.18,24.68,1189.72
132,36,100643,2,Djokovic,Nadal,False,first,topspin,backhand,2.24,24.45,5.87,0.82,1190.64
133,36,100674,3,Nadal,Djokovic,False,first,topspin,forehand,4.6,-0.94,3.95,24.56,1191.88
134,37,101276,1,Nadal,Djokovic,True,first,serve,forehand,3.91,-0.78,8.46,25.84,1215.96
135,37,101297,2,Djokovic,Nadal,False,first,return,backhand,11.36,24.79,4.71,1.29,1216.8000000000002
136,38,101945,1,Nadal,Djokovic,True,first,serve,forehand,5.45,-0.91,1.38,25.02,1242.72
137,38,101963,2,Djokovic,Nadal,False,first,slice,backhand,4.06,24.45,5.72,0.82,1243.44
138,38,102023,3,Nadal,Djokovic,False,first,topspin,forehand,6.96,8.13,5.63,23.67,1245.8400000000001
139,39,102753,1,Nadal,Djokovic,True,first,serve,forehand,5.26,-2.84,3.95,8.57,1275.0400000000002
140,40,103533,1,Nadal,Djokovic,True,second,serve,forehand,3.96,-0.58,8.51,24.45,1306.24
141,40,103554,2,Djokovic,Nadal,False,first,topspin,forehand,8.11,24.22,4.81,0.71,1307.0800000000002
142,40,103586,3,Nadal,Djokovic,False,second,topspin,forehand,1.67,-0.05,6.52,25.02,1308.3600000000001
143,40,103617,4,Djokovic,__undefined__,False,first,topspin,forehand,3.7,25.49,2.37,-0.75,1309.6000000000001
144,40,103644,5,Nadal,Djokovic,False,first,topspin,forehand,3.76,-0.71,5.01,25.37,1310.68
145,40,103681,6,Djokovic,Nadal,False,first,topspin,forehand,7.48,25.37,4.75,-2.53,1312.16
146,40,103709,7,Nadal,__undefined__,False,first,topspin,forehand,2.98,-2.62,7.28,24.91,1313.28
147,40,103742,8,Djokovic,Nadal,False,first,topspin,backhand,8.23,24.56,3.75,-2.22,1314.6000000000001
148,40,103770,9,Nadal,Djokovic,False,first,topspin,forehand,0.86,-0.94,7.4,23.67,1315.72
149,40,103806,10,Djokovic,Nadal,False,first,topspin,backhand,8.3,22.17,2.34,-1.41,1317.16
150,40,103831,11,Nadal,__undefined__,False,first,topspin,forehand,0.73,-1.06,8.18,23.67,1318.16
151,41,104640,1,Nadal,Djokovic,True,first,serve,forehand,5.5,-0.75,1.31,25.73,1350.52
152,42,104999,1,Nadal,Djokovic,True,second,serve,forehand,5.44,-0.55,1.44,24.0,1364.88
153,42,105019,2,Djokovic,Nadal,False,first,topspin,backhand,2.65,24.0,5.89,1.0,1365.68
154,42,105082,3,Nadal,__undefined__,False,first,slice,forehand,6.01,8.52,4.6,22.37,1368.2
155,42,105107,4,Djokovic,Nadal,False,first,volley,backhand,7.14,19.69,5.39,10.04,1369.2
156,42,105178,5,Nadal,__undefined__,False,first,topspin,backhand,7.04,-0.32,5.04,16.18,1372.0400000000002
157,42,105194,6,Djokovic,Nadal,False,first,volley,forehand,3.4,16.67,6.66,-1.38,1372.68
158,43,106131,1,Nadal,Djokovic,True,first,serve,forehand,4.05,-0.65,8.67,27.19,1410.16
159,43,106150,2,Djokovic,Nadal,False,first,return,backhand,9.5,25.37,4.96,0.86,1410.92
160,44,107122,1,Djokovic,Nadal,True,first,serve,forehand,3.48,22.9,9.56,-3.09,1449.8000000000002
161,44,107147,2,Nadal,__undefined__,False,first,return,backhand,10.69,-1.65,3.07,22.69,1450.8000000000002
162,44,107182,3,Djokovic,Nadal,False,first,topspin,forehand,1.8,22.27,7.43,-1.86,1452.2
163,44,107210,4,Nadal,Djokovic,False,first,topspin,forehand,3.34,-2.5,3.77,22.69,1453.3200000000002
164,44,107252,5,Djokovic,Nadal,False,first,stop,backhand,8.26,21.55,3.5,-1.83,1455.0
165,44,107305,6,Nadal,Djokovic,False,first,slice,backhand,5.74,7.53,5.39,16.92,1457.1200000000001
166,44,107326,7,Djokovic,Nadal,False,first,volley,backhand,6.94,16.51,5.9,8.8,1457.96
167,44,107349,8,Nadal,Djokovic,False,first,smash,backhand,7.06,8.46,6.72,17.43,1458.88
168,45,108041,1,Djokovic,Nadal,True,first,serve,forehand,4.85,26.57,1.92,-1.1,1486.5600000000002
169,46,108397,1,Djokovic,Nadal,True,second,serve,forehand,5.03,27.95,1.83,-1.32,1500.8000000000002
170,46,108431,2,Nadal,Djokovic,False,second,return,forehand,1.54,-0.39,5.23,28.87,1502.16
171,46,108465,3,Djokovic,Nadal,False,second,topspin,backhand,6.65,28.35,3.25,0.75,1503.52
172,46,108493,4,Nadal,Djokovic,False,second,topspin,forehand,2.01,0.78,5.96,27.45,1504.64
173,46,108524,5,Djokovic,Nadal,False,second,topspin,backhand,7.44,27.07,3.11,0.5,1505.88
174,46,108550,6,Nadal,Djokovic,False,first,topspin,forehand,2.98,0.93,6.43,26.94,1506.92
175,46,108580,7,Djokovic,Nadal,False,second,topspin,forehand,2.92,28.47,4.95,0.47,1508.1200000000001
176,46,108608,8,Nadal,Djokovic,False,second,slice,backhand,7.22,0.26,3.67,28.35,1509.24
177,46,108649,9,Djokovic,Nadal,False,first,topspin,forehand,4.51,25.73,5.67,-1.35,1510.88
178,46,108680,10,Nadal,Djokovic,False,second,topspin,forehand,2.48,-1.47,5.06,26.82,1512.1200000000001
179,46,108715,11,Djokovic,__undefined__,False,first,topspin,backhand,7.24,26.33,3.53,-1.19,1513.52
180,46,108746,12,Nadal,__undefined__,False,first,slice,backhand,8.12,-1.28,5.23,26.57,1514.76
181,46,108787,13,Djokovic,Nadal,False,second,topspin,forehand,6.25,24.68,6.15,-1.59,1516.4
182,46,108815,14,Nadal,Djokovic,False,first,topspin,forehand,1.3,-1.53,6.27,26.21,1517.52
183,47,109577,1,Djokovic,Nadal,True,first,serve,forehand,2.73,25.26,9.5,-3.36,1548.0
184,48,109895,1,Djokovic,Nadal,True,second,serve,forehand,2.55,24.33,8.81,-1.71,1560.72
185,48,109915,2,Nadal,__undefined__,False,first,topspin,forehand,7.02,-0.55,3.05,24.22,1561.5200000000002
186,48,109954,3,Djokovic,Nadal,False,second,topspin,backhand,5.62,23.12,4.83,-1.62,1563.0800000000002
187,48,109981,4,Nadal,Djokovic,False,second,topspin,forehand,2.18,-0.22,5.38,24.56,1564.16
188,49,110583,1,Djokovic,Nadal,True,first,serve,forehand,5.15,27.32,1.71,-1.25,1588.24
189,49,110603,2,Nadal,Djokovic,False,first,topspin,forehand,0.71,0.12,5.17,26.45,1589.0400000000002
190,49,110632,3,Djokovic,Nadal,False,first,topspin,backhand,6.34,25.61,2.06,0.33,1590.2
191,50,113669,1,Nadal,Djokovic,True,first,serve,forehand,4.04,24.33,8.23,-2.56,1711.68
192,51,113973,1,Nadal,Djokovic,True,second,serve,forehand,4.01,24.0,8.33,-0.15,1723.8400000000001
193,51,113994,2,Djokovic,Nadal,False,first,return,forehand,7.3,0.15,3.65,22.48,1724.68
194,51,114019,3,Nadal,Djokovic,False,first,topspin,backhand,2.02,24.0,5.68,-0.84,1725.68
195,51,114050,4,Djokovic,Nadal,False,second,topspin,forehand,6.37,-0.78,2.98,24.33,1726.92
196,51,114082,5,Nadal,__undefined__,False,second,topspin,forehand,7.34,26.69,4.85,-1.0,1728.2
197,51,114122,6,Djokovic,Nadal,False,first,topspin,backhand,-1.25,0.05,7.11,25.61,1729.8000000000002
198,51,114150,7,Nadal,Djokovic,False,second,topspin,backhand,5.58,22.37,1.43,-0.29,1730.92
199,52,114918,1,Nadal,Djokovic,True,first,serve,forehand,5.34,24.79,1.15,-1.03,1761.64
200,53,115445,1,Nadal,Djokovic,True,first,serve,forehand,5.45,25.26,0.92,-1.06,1782.72
201,54,115773,1,Nadal,Djokovic,True,second,serve,forehand,5.59,26.21,1.06,0.29,1795.8400000000001
202,54,115794,2,Djokovic,Nadal,False,second,return,backhand,0.31,1.0,5.02,24.0,1796.68
203,54,115821,3,Nadal,Djokovic,False,second,topspin,backhand,3.17,25.14,1.55,1.11,1797.7600000000002
204,54,115859,4,Djokovic,Nadal,False,first,topspin,forehand,7.86,0.97,3.54,27.19,1799.2800000000002
205,54,115887,5,Nadal,Djokovic,False,second,topspin,forehand,6.69,29.0,7.03,0.4,1800.4
206,54,115914,6,Djokovic,Nadal,False,second,topspin,backhand,1.88,0.43,7.19,28.74,1801.48
207,54,115950,7,Nadal,Djokovic,False,second,topspin,backhand,2.51,27.07,3.59,-1.13,1802.92
208,54,115980,8,Djokovic,Nadal,False,second,topspin,forehand,8.12,-0.29,2.57,27.32,1804.1200000000001
209,54,116009,9,Nadal,Djokovic,False,second,topspin,backhand,2.19,27.07,7.29,-1.06,1805.2800000000002
210,54,116040,10,Djokovic,Nadal,False,second,topspin,forehand,7.69,-0.58,2.93,26.45,1806.5200000000002
211,54,116072,11,Nadal,Djokovic,False,second,topspin,backhand,-0.3,26.33,6.68,-0.35,1807.8000000000002
212,54,116100,12,Djokovic,Nadal,False,second,topspin,backhand,3.54,-0.45,0.11,25.37,1808.92
213,54,116134,13,Nadal,Djokovic,False,second,slice,backhand,3.22,26.45,4.16,-0.45,1810.2800000000002
214,54,116179,14,Djokovic,Nadal,False,second,topspin,backhand,1.02,3.52,5.55,25.37,1812.0800000000002
215,54,116207,15,Nadal,Djokovic,False,second,topspin,backhand,2.76,26.82,2.06,2.73,1813.2
216,54,116235,16,Djokovic,Nadal,False,second,topspin,forehand,7.69,1.25,2.45,26.57,1814.3200000000002
217,55,117047,1,Nadal,Djokovic,True,first,serve,forehand,4.04,25.02,8.21,-1.77,1846.8000000000002
