,rallyid,server,returner,winner,reason,serve,strokes,totaltime,x,y,score
0,1,Djokovic,Nadal,Djokovic,winner,first,3,0.92,1.92,21.96,"0:0, 15:0"
2,3,Djokovic,Nadal,Djokovic,out,second,4,4.159999999999997,3.33,-0.39,"0:0, 30:0"
4,5,Djokovic,Nadal,Djokovic,ace,second,2,0.3999999999999915,1.62,17.18,"0:0, 40:0"
5,6,Djokovic,Nadal,Djokovic,net,first,10,10.400000000000006,6.41,12.78,"1:0, 0:0"
7,8,Nadal,Djokovic,Djokovic,out,second,7,7.199999999999989,0.5,18.67,"1:0, 15:0"
8,9,Nadal,Djokovic,Djokovic,winner,first,12,0.9200000000000159,3.65,9.5,"1:0, 30:0"
10,11,Nadal,Djokovic,Nadal,winner,first,4,1.079999999999984,7.34,18.76,"1:0, 30:15"
12,13,Nadal,Djokovic,Djokovic,net,second,13,13.599999999999966,4.01,11.37,"1:0, 40:15"
13,14,Nadal,Djokovic,Djokovic,out,first,3,2.6399999999999864,1.07,25.85,"2:0, 0:0"
14,15,Djokovic,Nadal,Djokovic,out,first,2,0.8000000000000114,4.39,27.45,"2:0, 15:0"
16,17,Djokovic,Nadal,Djokovic,out,first,4,4.0,5.45,30.23,"2:0, 30:0"
17,18,Djokovic,Nadal,Djokovic,out,first,6,6.399999999999977,8.55,22.48,"2:0, 40:0"
18,19,Djokovic,Nadal,Djokovic,ace,first,1,0.0,1.62,10.23,"3:0, 0:0"
19,20,Nadal,Djokovic,Djokovic,winner,first,12,12.920000000000073,0.53,21.45,"3:0, 15:0"
21,22,Nadal,Djokovic,Nadal,out,second,2,0.7599999999999909,4.77,24.68,"3:0, 15:15"
23,24,Nadal,Djokovic,Djokovic,winner,first,4,0.7199999999999136,7.3,22.58,"3:0, 30:15"
24,25,Nadal,Djokovic,Nadal,winner,first,3,2.519999999999982,8.4,3.22,"3:0, 30:30"
25,26,Nadal,Djokovic,Djokovic,out,first,7,6.240000000000009,9.0,4.04,"3:0, 40:30"
27,28,Nadal,Djokovic,Nadal,out,first,2,0.8400000000000318,8.34,24.45,"3:0, 40:40"
28,29,Nadal,,Nadal,out,first,2,0.7999999999999545,2.27,24.56,"3:0, 40:Ad"
29,30,Nadal,Djokovic,Nadal,out,first,4,3.3999999999999773,0.88,8.57,"3:1, 0:0"
30,31,Djokovic,Nadal,Djokovic,ace,first,1,0.0,4.63,16.1,"3:1, 15:0"
31,32,Djokovic,__undefined__,Djokovic,net,first,6,7.319999999999936,1.78,12.85,"3:1, 30:0"
32,33,Djokovic,Nadal,Djokovic,ace,first,1,0.0,4.23,18.13,"3:1, 40:0"
33,34,Djokovic,Nadal,Djokovic,winner,first,5,0.7200000000000273,7.33,20.36,"4:1, 0:0"
35,36,Nadal,Djokovic,Djokovic,out,second,3,2.160000000000082,0.2,23.01,"4:1, 15:0"
36,37,Nadal,Djokovic,Nadal,net,first,2,0.8400000000001455,7.47,17.52,"4:1, 15:15"
37,38,Nadal,Djokovic,Nadal,winner,first,3,3.1200000000001182,3.19,16.26,"4:1, 15:30"
39,40,Nadal,Djokovic,Djokovic,out,second,11,11.920000000000073,8.45,24.56,"4:1, 30:30"
41,42,Nadal,Djokovic,Nadal,net,second,6,7.160000000000082,2.88,12.72,"4:1, 30:40"
42,43,Nadal,Djokovic,Nadal,out,first,2,0.7599999999999909,4.55,-0.62,"4:2, 0:0"
43,44,Djokovic,Nadal,Djokovic,net,first,8,1.0,8.38,13.42,"4:2, 15:0"
45,46,Djokovic,Nadal,Djokovic,out,second,14,16.7199999999998,0.61,23.77,"4:2, 30:0"
47,48,Djokovic,Nadal,Djokovic,winner,second,4,3.4400000000000546,1.0,-3.57,"4:2, 40:0"
48,49,Djokovic,Nadal,Djokovic,winner,first,3,1.9600000000000364,8.16,4.3,"5:2, 0:0"
50,51,Nadal,Djokovic,Nadal,winner,second,7,7.079999999999927,8.4,0.61,"5:2, 0:15"
53,54,Nadal,Djokovic,Nadal,net,second,16,17.3599999999999,6.12,12.72,"5:2, 0:30"
55,56,Nadal,Djokovic,Nadal,net,second,4,0.7999999999999545,6.62,12.17,"5:2, 0:40"
56,57,Nadal,Djokovic,Nadal,winner,first,3,2.3600000000001273,8.34,1.15,"5:3, 0:0"
58,59,Djokovic,Nadal,Nadal,net,second,11,12.240000000000009,6.8,11.11,"5:3, 0:15"
59,60,Djokovic,Nadal,Djokovic,out,first,6,6.759999999999991,9.07,1.33,"5:3, 15:15"
61,62,Djokovic,Nadal,Djokovic,winner,second,11,12.639999999000338,0.78,20.16,"5:3, 30:15"
62,63,Djokovic,Nadal,Djokovic,net,first,22,21.40000000000009,3.0,12.51,"5:3, 40:15"
63,64,Djokovic,Nadal,Djokovic,net,first,4,3.640000000999862,2.81,12.03,"6:3 0:0, 0:0"
64,65,Nadal,Djokovic,Djokovic,out,first,5,4.360000000000127,-1.04,20.45,"6:3 0:0, 15:0"
65,66,Nadal,Djokovic,Nadal,winner,first,3,0.8799999999996544,1.67,20.06,"6:3 0:0, 15:15"
66,67,Nadal,Djokovic,Nadal,out,first,2,0.7200000000002547,8.51,-1.35,"6:3 0:0, 15:30"
69,70,Nadal,Djokovic,Djokovic,winner,second,4,3.4400000000000546,1.4,1.59,"6:3 0:0, 30:30"
70,71,Nadal,Djokovic,Nadal,winner,first,1,0.0,4.84,29.68,"6:3 0:0, 30:40"
72,73,Nadal,Djokovic,Nadal,winner,second,3,1.7600000000002183,1.92,21.65,"6:3 0:1, 0:0"
74,75,Djokovic,Nadal,Djokovic,net,second,4,3.880000000000109,5.85,12.58,"6:3 0:1, 15:0"
76,77,Djokovic,Nadal,Djokovic,net,second,4,2.7599999999997635,6.64,13.42,"6:3 0:1, 30:0"
77,78,Djokovic,Nadal,Djokovic,ace,first,1,0.0,2.91,29.27,"6:3 0:1, 40:0"
78,79,Djokovic,Nadal,Djokovic,net,first,4,3.5599999999999454,4.26,11.57,"6:3 1:1, 0:0"
79,80,Nadal,__undefined__,Nadal,net,first,2,0.7600000000002183,2.89,13.93,"6:3 1:1, 0:15"
80,81,Nadal,Djokovic,Djokovic,out,first,5,4.480000000000018,5.87,-0.81,"6:3 1:1, 15:15"
81,82,Nadal,Djokovic,Djokovic,net,first,19,16.159999999999854,5.46,17.09,"6:3 1:1, 30:15"
83,84,Nadal,Djokovic,Nadal,winner,second,3,2.0,9.26,0.58,"6:3 1:1, 30:30"
85,86,Nadal,Djokovic,Nadal,winner,second,7,7.200000000000273,1.61,6.54,"6:3 1:1, 30:40"
86,87,Nadal,Djokovic,Nadal,net,first,2,0.8800000000001091,2.94,12.78,"6:3 1:2, 0:0"
88,89,Djokovic,Nadal,Djokovic,net,second,2,0.9200000000000728,6.06,12.93,"6:3 1:2, 15:0"
90,91,Djokovic,Nadal,Nadal,net,first,5,4.800000000000182,3.36,15.54,"6:3 1:2, 15:15"
91,92,Djokovic,Nadal,Djokovic,out,first,2,0.7600000000002183,9.86,18.4,"6:3 1:2, 30:15"
92,93,Djokovic,Nadal,Djokovic,out,first,6,4.559999999999945,0.61,24.45,"6:3 1:2, 40:15"
93,94,Djokovic,Nadal,Djokovic,winner,first,1,0.0,5.46,-1.77,"6:3 2:2, 0:0"
95,96,Nadal,Djokovic,Djokovic,out,second,15,0.8399999999996908,1.47,26.69,"6:3 2:2, 15:0"
96,97,Nadal,Djokovic,Djokovic,out,first,5,5.360000000000127,6.91,24.33,"6:3 2:2, 30:0"
97,98,Nadal,Djokovic,Nadal,ace,first,1,0.0,-1.11,26.94,"6:3 2:2, 30:15"
98,99,Nadal,Djokovic,Djokovic,net,first,3,2.119999999999891,3.83,11.24,"6:3 2:2, 40:15"
100,101,Nadal,Djokovic,Djokovic,out,first,2,-0.5199999999999818,5.94,27.32,"6:3 3:2, 0:0"
102,103,Djokovic,Nadal,Nadal,out,second,3,2.2400000000002365,3.29,26.82,"6:3 3:2, 0:15"
103,104,Djokovic,Nadal,Djokovic,out,first,4,3.880000000000109,0.23,4.71,"6:3 3:2, 15:15"
104,105,Djokovic,Nadal,Nadal,out,first,3,2.199999999999818,9.15,17.78,"6:3 3:2, 15:30"
107,108,Djokovic,Nadal,Djokovic,winner,second,7,7.920000000000073,0.8,21.85,"6:3 3:2, 30:30"
108,109,Djokovic,Nadal,Djokovic,out,first,14,17.480000000000018,9.17,5.84,"6:3 3:2, 40:30"
109,110,Djokovic,Nadal,Nadal,net,first,11,9.11999999999989,8.35,13.0,"6:3 3:2, 40:40"
110,111,Djokovic,Nadal,Djokovic,winner,first,7,0.8399999999996908,7.57,21.55,"6:3 3:2, Ad:40"
111,112,Djokovic,Nadal,Nadal,winner,first,8,10.039999999999964,8.35,0.26,"6:3 3:2, 40:40"
113,114,Djokovic,Nadal,Djokovic,out,second,8,8.88000000000011,1.1,4.57,"6:3 3:2, Ad:40"
114,115,Djokovic,Nadal,Djokovic,net,first,10,0.8400000000001455,3.7,12.93,"6:3 4:2, 0:0"
116,117,Nadal,Djokovic,Nadal,winner,second,7,6.59999999899992,7.57,10.17,"6:3 4:2, 0:15"
118,119,Nadal,Djokovic,Djokovic,double_fault,second,1,0.0,4.75,12.03,"6:3 4:2, 15:15"
119,120,Nadal,Djokovic,Djokovic,winner,first,14,1.8800000000001091,8.23,20.65,"6:3 4:2, 30:15"
121,122,Nadal,__undefined__,Djokovic,winner,first,8,8.840000000000146,8.14,22.17,"6:3 4:2, 40:15"
122,123,Nadal,Djokovic,Djokovic,net,first,7,6.880000000000109,5.89,11.96,"6:3 5:2, 0:0"
124,125,Djokovic,Nadal,Djokovic,winner,second,3,1.8800000000001091,2.13,0.54,"6:3 5:2, 15:0"
125,126,Djokovic,Nadal,Djokovic,ace,first,1,0.0,1.78,8.86,"6:3 5:2, 30:0"
126,127,Djokovic,Nadal,Djokovic,ace,first,1,0.0,4.61,7.91,"6:3 5:2, 40:0"
127,128,Djokovic,Nadal,Djokovic,ace,first,1,0.0,1.4,8.41,"6:3 6:2 0:0, 0:0"
129,130,Nadal,Djokovic,Nadal,winner,second,7,2.4799999999995634,0.68,21.85,"6:3 6:2 0:0, 0:15"
130,131,Nadal,Djokovic,Djokovic,winner,first,12,14.480000000000473,1.0,7.21,"6:3 6:2 0:0, 15:15"
131,132,Nadal,Djokovic,Nadal,net,first,2,0.6799999999993815,1.58,12.3,"6:3 6:2 0:0, 15:30"
133,134,Nadal,Djokovic,Djokovic,net,second,11,8.239999999999782,5.28,12.3,"6:3 6:2 0:0, 30:30"
134,135,Nadal,Djokovic,Nadal,winner,first,7,7.199999999999818,1.63,17.26,"6:3 6:2 0:0, 30:40"
135,136,Nadal,Djokovic,Nadal,net,first,2,0.7600000000002183,6.32,12.93,"6:3 6:2 0:1, 0:0"
138,139,Djokovic,Nadal,Djokovic,net,second,4,0.8400000000001455,7.98,12.51,"6:3 6:2 0:1, 15:0"
140,141,Djokovic,Nadal,Djokovic,out,second,4,0.7999999999992724,0.82,6.64,"6:3 6:2 0:1, 30:0"
142,143,Djokovic,Nadal,Djokovic,out,second,2,0.8799999999991996,6.28,-0.91,"6:3 6:2 0:1, 40:0"
145,146,Djokovic,Nadal,Djokovic,out,second,2,0.9200000000000728,6.98,-2.1,"6:3 6:2 1:1, 0:0"
146,147,Nadal,Djokovic,Nadal,out,first,2,0.7600000000002183,4.42,24.45,"6:3 6:2 1:1, 0:15"
148,149,Nadal,Djokovic,Djokovic,winner,second,2,0.9200000000000728,8.67,11.43,"6:3 6:2 1:1, 15:15"
150,151,Nadal,Djokovic,Djokovic,double_fault,second,1,0.0,4.63,6.29,"6:3 6:2 1:1, 30:15"
151,152,Nadal,Djokovic,Djokovic,out,first,11,12.800000000000182,8.73,-0.71,"6:3 6:2 1:1, 40:15"
153,154,Nadal,Djokovic,Nadal,net,second,16,11.359999999999673,4.74,11.7,"6:3 6:2 1:1, 40:30"
154,155,Nadal,Djokovic,Djokovic,net,first,11,14.159999999999854,4.88,13.86,"6:3 6:2 2:1, 0:0"
155,156,Djokovic,Nadal,Nadal,winner,first,8,8.960000000000036,8.21,20.84,"6:3 6:2 2:1, 0:15"
156,157,Djokovic,Nadal,Djokovic,winner,first,3,2.519999999999527,2.77,5.36,"6:3 6:2 2:1, 15:15"
157,158,Djokovic,Nadal,Djokovic,out,first,2,0.9200000000000728,2.96,23.55,"6:3 6:2 2:1, 30:15"
159,160,Djokovic,,Djokovic,winner,second,3,1.0399999999999636,6.64,6.79,"6:3 6:2 2:1, 40:15"
160,161,Djokovic,Nadal,Djokovic,winner,first,11,0.6799999999993815,1.08,4.57,"6:3 6:2 3:1, 0:0"
161,162,Nadal,Djokovic,Nadal,winner,first,3,2.5599999999994907,1.55,21.96,"6:3 6:2 3:1, 0:15"
162,163,Nadal,Djokovic,Nadal,ace,first,1,0.0,11.29,25.49,"6:3 6:2 3:1, 0:30"
163,164,Nadal,Djokovic,Nadal,out,first,2,0.7199999999993452,8.58,-1.95,"6:3 6:2 3:1, 0:40"
164,165,Nadal,Djokovic,Djokovic,out,first,3,1.5599999999994907,6.09,25.26,"6:3 6:2 3:1, 15:40"
167,168,Nadal,Djokovic,Nadal,winner,second,5,4.399999999999636,1.83,16.18,"6:3 6:2 3:2, 0:0"
168,169,Djokovic,Nadal,Djokovic,net,first,16,9.599999999999454,7.93,13.0,"6:3 6:2 3:2, 15:0"
169,170,Djokovic,Nadal,Nadal,out,first,7,8.520000000000437,0.72,24.11,"6:3 6:2 3:2, 15:15"
170,171,Djokovic,Nadal,Djokovic,net,first,4,3.7200000000002547,8.27,11.9,"6:3 6:2 3:2, 30:15"
172,173,Djokovic,Nadal,Nadal,out,first,11,12.480000000000473,9.33,18.94,"6:3 6:2 3:2, 30:30"
173,174,Djokovic,Nadal,Nadal,net,first,3,2.2399999999997817,7.67,12.03,"6:3 6:2 3:2, 30:40"
174,175,Djokovic,Nadal,Djokovic,net,first,9,6.799999999999272,5.86,11.83,"6:3 6:2 3:2, 40:40"
176,177,Djokovic,Nadal,Djokovic,net,first,2,0.8800000000001091,5.22,14.15,"6:3 6:2 3:2, Ad:40"
177,178,Djokovic,Nadal,Djokovic,winner,first,3,2.4000000000005457,1.89,19.59,"6:3 6:2 4:2, 0:0"
178,179,Nadal,Djokovic,Djokovic,winner,first,4,3.480000000000473,8.18,19.78,"6:3 6:2 4:2, 15:0"
179,180,Nadal,Djokovic,Nadal,ace,first,1,0.0,4.62,6.79,"6:3 6:2 4:2, 15:15"
181,182,Nadal,Djokovic,Nadal,out,second,2,0.7599999999993088,6.16,26.09,"6:3 6:2 4:2, 15:30"
182,183,Nadal,Djokovic,Nadal,out,first,2,0.7599999999993088,7.68,26.69,"6:3 6:2 4:2, 15:40"
185,186,Nadal,Djokovic,Nadal,net,second,2,0.8000000000001819,6.39,13.0,"6:3 6:2 4:3, 0:0"
187,188,Djokovic,Nadal,Nadal,out,second,3,1.0799999999999272,1.23,5.55,"6:3 6:2 4:3, 0:15"
188,189,Djokovic,Nadal,Djokovic,winner,first,7,7.440000000000509,6.57,5.75,"6:3 6:2 4:3, 15:15"
189,190,Djokovic,Nadal,Djokovic,out,first,2,0.8000000000001819,-1.48,22.8,"6:3 6:2 4:3, 30:15"
190,191,Djokovic,Nadal,Nadal,out,first,7,3.319999999999709,10.23,3.78,"6:3 6:2 4:3, 30:30"
192,193,Djokovic,Nadal,Djokovic,net,first,4,0.7600000000002183,6.48,13.42,"6:3 6:2 4:3, 40:30"
193,194,Djokovic,Nadal,Nadal,out,first,17,14.079999999999927,9.36,0.78,"6:3 6:2 4:3, 40:40"
194,195,Djokovic,Nadal,Djokovic,out,first,2,0.8799999999991996,-2.11,21.55,"6:3 6:2 4:3, Ad:40"
195,196,Djokovic,,Djokovic,winner,first,7,7.960000000000036,6.58,12.03,"6:3 6:2 5:3, 0:0"
197,198,Nadal,Djokovic,Nadal,out,first,2,0.6799999999993815,5.53,-0.02,"6:3 6:2 5:3, 0:15"
198,199,Nadal,Djokovic,Djokovic,winner,first,6,6.599999999999454,2.44,4.71,"6:3 6:2 5:3, 15:15"
200,201,Nadal,Djokovic,Djokovic,net,first,9,9.0,4.26,11.57,"6:3 6:2 5:3, 30:15"
201,202,Nadal,Djokovic,Djokovic,winner,first,4,3.0799999999999272,1.88,3.36,"6:3 6:2 5:3, 40:15"
203,204,Nadal,Djokovic,Nadal,out,first,12,0.8400000000001455,8.45,-0.56,"6:3 6:2 5:3, 40:30"
205,206,Nadal,Djokovic,Djokovic,out,second,5,4.599999999999454,0.59,23.86,"6:3 6:2 6:3, 0:0"
